Site,Dist,Site Name,Start,End,Latitude,Longitude,Source,State,Height,Bar Height,WMO
59026,59,UPPER ORARA (AURANIA),1899,2014,-30.3076,152.9874,GPS, NSW,145,       ..,     ..
59027,59,ORARA WEST STATE FOREST,1939,1947,-30.2,153,....., NSW,         ..,       ..,     ..
59028,59,PINE CREEK FORESTRY,1940,1956,-30.4,153,....., NSW,         ..,       ..,     ..
59029,59,RALEIGH POST OFFICE,1902,1965,-30.45,153,....., NSW,3,       ..,     ..
59030,59,SOUTH WEST ROCKS (SMOKY CAPE LIGHTHOUSE),1939,  ..,-30.9225,153.0871,GPS, NSW,117,120,94790
59031,59,TANBAN FORESTRY,1940,1960,-30.95,152.8,....., NSW,         ..,       ..,     ..
59032,59,TAYLORS ARM,1949,  ..,-30.7794,152.7024,GPS, NSW,80,       ..,     ..
59033,59,THORA POST OFFICE,1947,  ..,-30.4252,152.7789,GPS, NSW,45,       ..,     ..
59034,59,HICKEYS CREEK (MILLBANK (LINDALE)),1918,2011,-30.8765,152.6121,GPS, NSW,73,       ..,     ..
59035,59,TOWALLUM (MAXWELTON),1937,1999,-30.0064,152.8403,....., NSW,95,       ..,     ..
59036,59,TURNERS FLAT,1947,1973,-31.0167,152.7167,....., NSW,13.7,       ..,     ..
59037,59,URUNGA (SUNSET PLACE),1912,2012,-30.4962,153.0119,GPS, NSW,15,       ..,     ..
59038,59,BOWRAVILLE (WEEROONA),1933,1973,-30.6833,152.75,....., NSW,61,       ..,     ..
59039,59,WOOLGOOLGA (CLEAR PLACE),1887,  ..,-30.1051,153.1956,GPS, NSW,2,       ..,     ..
59040,59,COFFS HARBOUR MO,1943,2015,-30.3107,153.1187,GPS, NSW,5,6,94791
59041,59,GLENREAGH FORESTRY STATION,1952,1961,-30.05,152.9833,....., NSW,         ..,       ..,     ..
59042,59,GLENREAGH POST OFFICE,1953,2009,-30.05,152.9782,GPS, NSW,67,       ..,     ..
59043,59,WEST KEMPSEY (ABC 2KP),1956,1982,-31.0833,152.8333,....., NSW,10,       ..,     ..
59044,59,BARCOONGERE STATE FORESTRY,1953,1960,-29.9667,153.2167,....., NSW,         ..,       ..,     ..
59045,59,MELDRUM (COOLAWARRAH),1948,  ..,-30.3614,152.4917,GPS, NSW,1230,       ..,     ..
59046,59,DARKWOOD,1956,1979,-30.4383,152.6467,....., NSW,119,       ..,     ..
59047,59,CRESCENT HEAD,1904,  ..,-31.1802,152.9681,GPS, NSW,8,       ..,     ..
59048,59,TOOROOKA (KOOKABURRA SAWMILL),1963,1997,-31.0283,152.3378,....., NSW,950,       ..,     ..
59049,59,BOSTOBRICK POST OFFICE,1962,1982,-30.2833,152.6333,....., NSW,683,       ..,     ..
59050,59,TOOROOKA,1907,1980,-30.9167,152.5833,....., NSW,52,       ..,     ..
59051,59,WOOLGOOLGA STATE FOREST,1956,1969,-30.1167,153.1833,....., NSW,30.5,       ..,     ..
59052,59,WILLAWARRIN (DENLEIGH),1961,2013,-30.8996,152.6629,GPS, NSW,85,       ..,     ..
59053,59,MILLBANK (PINDAH),1959,1971,-30.7833,152.6,....., NSW,152,       ..,     ..
59054,59,GLENREAGH (CORAMBA STREET),2001,  ..,-30.0481,152.9773,GPS, NSW,67,       ..,     ..
59055,59,TOOROOKA (MOPARRABAH),1894,  ..,-30.9699,152.511,GPS, NSW,80,       ..,     ..
59056,59,KOGAL (NULLA NULLA CK),1961,  ..,-30.7333,152.5,....., NSW,         ..,       ..,     ..
59057,59,THUMB CREEK (UPPER TAYLORS ARM),1961,1979,-30.6167,152.5667,....., NSW,225,       ..,     ..
59058,59,WATTS CREEK (NULLA),1961,1961,-30.6667,152.45,....., NSW,         ..,       ..,     ..
59059,59,BELLBROOK (WILLI WILLI),1959,1982,-30.95,152.4167,....., NSW,150,       ..,     ..
59060,59,WITTITRIN,1961,  ..,-31.1167,152.6833,....., NSW,46,       ..,     ..
59061,59,COMARA,1961,1985,-30.7833,152.3725,....., NSW,125,       ..,     ..
59062,59,URUNGA FORESTRY OFFICE,1959,1995,-30.4978,153.0183,....., NSW,10,       ..,     ..
59063,59,MOLETON (MOLEW ROAD),1962,1974,-30.15,152.9,....., NSW,480,       ..,     ..
59064,59,SUNDAY CAMP,1962,1970,-30.7,152.5,....., NSW,         ..,       ..,     ..
59065,59,SEVEN OAKS (BELLIMBOPINNI),1895,1932,-31,152.9,....., NSW,         ..,       ..,     ..
59066,59,TALLOWWOOD POINT,1946,1966,-30.35,152.8667,....., NSW,45.7,       ..,     ..
59067,59,DORRIGO (MYRTLE ST),1954,1999,-30.3439,152.7128,GPS, NSW,740,       ..,     ..
59068,59,COLLOMBATTI (BENBULLEN),2001,  ..,-30.9809,152.799,GPS, NSW,51,       ..,     ..
59069,59,FERNMOUNT,1889,1921,-30.5,152.9,....., NSW,         ..,       ..,     ..
59070,59,UPPER DARKWOOD,2002,  ..,-30.4508,152.6231,....., NSW,         ..,       ..,     ..
59071,59,LITTLE NYMBOIDA,1911,1937,-30.2,152.9,....., NSW,         ..,       ..,     ..
59072,59,MYUNA,1921,1948,-30.8,152.6,....., NSW,         ..,       ..,     ..
59073,59,SHERWOOD,1914,1942,-31.1,152.7,....., NSW,         ..,       ..,     ..
59074,59,SOUTH SOLITARY ISLAND,1897,1975,-30.2,153.2667,....., NSW,40,       ..,     ..
59075,59,EUNGAI CREEK (SOUTHBANK ROAD),1964,2012,-30.8495,152.8832,GPS, NSW,48,       ..,     ..
59076,59,TYRINGHAM POST OFFICE,1936,1977,-30.2167,152.5333,....., NSW,800,       ..,     ..
59077,59,DUNDARRABIN (OBLO),1964,1966,-30.2,152.4667,....., NSW,762,       ..,     ..
59078,59,PROMISED LAND (BELLINGEN (CRYSTAL CREEK),1966,  ..,-30.3488,152.9025,GPS, NSW,105,       ..,     ..
59079,59,TYRINGHAM (SHADY ACRES),1966,1972,-30.15,152.4833,....., NSW,870,       ..,     ..
59080,59,MEGAN (MOUNT MOOMBIL),1967,1996,-30.3183,152.86,....., NSW,1040,       ..,     ..
59081,59,CRESCENT HEAD (DELICATE NOBBY (BIG HILL,2003,2010,-31.2659,152.9645,GPS, NSW,8,       ..,     ..
59082,59,ULONG TOWNSHIP,1968,1978,-30.2333,152.8833,....., NSW,550,       ..,     ..
59083,59,DORRIGO (LEARMONTHS FARM),1968,1974,-30.35,152.6333,....., NSW,914.4,       ..,     ..
59084,59,TOOROOKA (SEBASTAPOL),1968,1984,-30.945,152.485,....., NSW,135,       ..,     ..
59085,59,KEMPSEY SHIRE COUNCIL ENVIROMON BASESTAT,2005,  ..,-31.0817,152.8258,GPS, NSW,         ..,       ..,     ..
59086,59,BELLINGEN SES ENVIROMON BASESTATION,2006,  ..,-30.4535,152.8942,MAP 1:250 000, NSW,         ..,       ..,     ..
59087,59,EVERMORE (HICKEYS CREEK),1963,1980,-30.8,152.6167,....., NSW,         ..,       ..,     ..
59088,59,BELLINGEN SHIRE COUNCIL ENVIROMON BASEST,2006,  ..,-30.4512,152.897,MAP 1:250 000, NSW,18,       ..,     ..
59089,59,MAJORS CREEK (TOORUMBIE),1963,1968,-31,152.5,....., NSW,         ..,       ..,     ..
59090,59,SCOTTS HEAD POST OFFICE,1970,1976,-30.75,153,....., NSW,10,       ..,     ..
59091,59,HALFWAY CREEK MOTEL,1962,1972,-29.95,153.1167,....., NSW,107,       ..,     ..
59092,58,HALFWAY CREEK (PACIFIC HWY),1967,  ..,-29.9179,153.0683,GPS, NSW,66,       ..,     ..
59093,59,WIRRIALPA (HERNANI),1887,1917,-30.3,152.4167,....., NSW,914.4,       ..,     ..
59094,59,BELLINGEN (THE OBSERVATORY),1985,1989,-30.4167,152.8667,....., NSW,50,       ..,     ..
59095,59,UPPER ORARA (DAIRYVILLE),1970,2012,-30.2743,152.9626,GPS, NSW,140,       ..,     ..
59096,59,BELLBROOK (NULLA NULLA CRK HMSD),1970,1974,-30.75,152.5,....., NSW,182.9,       ..,     ..
59097,59,UPPER ORARA (FRIDAY CREEK),1970,1983,-30.3333,153.0333,....., NSW,152,       ..,     ..
59098,59,KUNGALA (OMEGA FLATS),1970,1975,-29.95,153.0333,....., NSW,30.5,       ..,     ..
59099,59,DORRIGO POLICE STATION,1960,1978,-30.3433,152.71,MAP 1:32 000, NSW,725,       ..,     ..
59100,59,ORAMA (DARKWOOD ROAD),1971,  ..,-30.4346,152.6755,GPS, NSW,75,       ..,     ..
59101,59,UPPER ORARA (FAIRVIEW),1971,2002,-30.2697,153.0064,GPS, NSW,130,       ..,     ..
59102,59,MOLETON (CRADLE CREEK ROAD),1971,1977,-30.1667,152.8833,....., NSW,556.3,       ..,     ..
59103,59,UPPER BO BO (COOLUMBLA PARK),1972,1973,-30.3167,152.8833,....., NSW,610,       ..,     ..
59104,59,MILLBANK POST OFFICE,1972,1973,-30.85,152.6333,....., NSW,70.1,       ..,     ..
59105,59,LOWANNA (GRAFTON ST),1972,  ..,-30.2104,152.899,GPS, NSW,550,       ..,     ..
59106,59,WOOLGOOLGA (SAFETY BEACH),1972,1986,-30.1,153.2,....., NSW,24,       ..,     ..
59107,59,GIRRALONG,1973,  ..,-30.566,152.6528,GPS, NSW,100,       ..,     ..
59108,59,LOWANNA (YALAMURRA),1973,1978,-30.1833,152.8667,....., NSW,549,       ..,     ..
59109,59,EUNGAI (SEARLES RD),1973,2005,-30.8781,152.8207,GPS, NSW,70,       ..,     ..
59110,59,BOWRAVILLE (COW COWNTY),1973,  ..,-30.6688,152.7638,GPS, NSW,48,       ..,     ..
59111,59,BOWRAVILLE (LIGHTNING),1973,1997,-30.6556,152.8378,....., NSW,15,       ..,     ..
59112,59,MACKSVILLE (NAMBUCCA SES ENVIROMON BASES,2006,  ..,-30.7087,152.9286,MAP 1:250 000, NSW,         ..,       ..,     ..
59113,59,LEIGH (ROLLING ACRES),1974,  ..,-30.3097,152.7635,GPS, NSW,783,       ..,     ..
59114,59,WILLAWARRIN POST OFFICE,1974,1974,-30.9333,152.6167,....., NSW,45.7,       ..,     ..
59115,59,DORRIGO (DEER VALE ROAD),1974,1975,-30.35,152.5333,....., NSW,1173,       ..,     ..
59116,59,KEMPSEY (EVER REST),1962,1993,-31.1053,152.8767,....., NSW,10,       ..,     ..
59117,59,MOUNT MOOMBIL (LIGHTNING),1976,1993,-30.3,152.8333,....., NSW,1042,       ..,     ..
59118,59,TYRINGHAM (GLENFERNEIGH (RING TREE)),1977,  ..,-30.2525,152.4619,GPS, NSW,1010,       ..,     ..
59119,59,KALANG (WYEMBAH),1933,1942,-30.5167,151.6833,....., NSW,80,       ..,     ..
59120,59,THUMB CREEK (FIGTREE),1961,  ..,-30.6801,152.6079,GPS, NSW,90,       ..,     ..
59121,59,THORA (BELLINGER RIVER),1946,  ..,-30.425,152.7806,....., NSW,50,       ..,     ..
59122,59,BELLBROOK (MACLEAY RIVER),1953,  ..,-30.8217,152.5067,....., NSW,70,       ..,     ..
59123,59,GLENREAGH BRIDGE (ORARA RIVER),1950,  ..,-30.0533,152.9833,....., NSW,60,       ..,     ..
59124,59,NYMBOIDA (NYMBOIDA RIVER),1908,  ..,-29.9806,152.7222,....., NSW,180,       ..,     ..
59125,59,WITTITRIN (DUNGAY CREEK),1963,  ..,-31.0897,152.6217,....., NSW,20,       ..,     ..
59126,59,BELLINGEN (BELLINGER RIVER),1950,  ..,-30.4517,152.8983,....., NSW,10,       ..,     ..
59127,59,KEMPSEY RD BRIDGE (MACLEAY RIVER),1900,  ..,-31.0833,152.8467,....., NSW,0.5,       ..,     ..
59128,59,MAJORS CREEK (MOPARRABAH (PARRABEL CREEK,1968,  ..,-30.9783,152.5106,....., NSW,         ..,       ..,     ..
59129,59,NYMBOIDA RIVER (TYRINGHAM),1937,1984,-30.25,152.5833,....., NSW,         ..,       ..,     ..
59130,59,BELLINGEN (CHELSEA),1982,1990,-30.4211,152.8089,....., NSW,50,       ..,     ..
59131,59,MILLBANK,1985,  ..,-30.8796,152.6113,GPS, NSW,70,       ..,     ..
59132,59,ARRAWARRA CARAVAN PARK,1986,1992,-30.0611,153.1944,....., NSW,3,       ..,     ..
59133,59,RED ROCK (SCHAFER STREET),1990,1992,-29.9861,153.2236,....., NSW,2,       ..,     ..
59134,59,BELLINGEN  (HYDE STREET),1992,2015,-30.4523,152.9008,GPS, NSW,15,       ..,     ..
59135,59,EUROKA (ALDAVILLA (MACLEAY RIVER)),1992,2012,-31.08,152.7833,....., NSW,7,       ..,     ..
59136,59,HERNANI (GRASSTREE KNOB),1993,1995,-30.2653,152.4389,....., NSW,1115,       ..,     ..
59137,59,NORTH DORRIGO (TYRINGHAM ROAD),1993,2007,-30.2803,152.6699,GPS, NSW,745,       ..,     ..
59138,59,BOWRA SUGARLOAF,1995,  ..,-30.6639,152.6528,GPS, NSW,870,       ..,     ..
59139,59,NANA GLEN (COWLING CLOSE),1958,  ..,-30.1033,153.0003,....., NSW,70,       ..,     ..
59140,59,DORRIGO (OLD CORAMBA RD),1996,  ..,-30.3444,152.7187,GPS, NSW,746,       ..,94789
59141,59,WEST KEMPSEY (KEMPSEY SES ENVIROMON BASE,2006,  ..,-31.0654,152.8187,MAP 1:250 000, NSW,         ..,       ..,     ..
59142,59,COFFS HARBOUR SES ENVIROMON BASESTATION,2006,  ..,-30.2994,153.117,MAP 1:250 000, NSW,8,       ..,     ..
59143,59,FISHERMANS REACH,2006,  ..,-30.8585,152.9983,GPS, NSW,3,       ..,     ..
59144,59,DORRIGO (ELM STREET),2007,  ..,-30.3292,152.7044,GPS, NSW,728,       ..,     ..
59145,59,GLADSTONE SES ENVIROMON BASESTATION,2007,  ..,-31.0272,152.9451,....., NSW,         ..,       ..,     ..
59146,59,KALANG (KOOROOWI (SHARABEL)),2007,  ..,-30.4686,152.8187,GPS, NSW,86,       ..,     ..
59147,59,COOKS CK (KALANG),2007,  ..,-30.5303,152.7386,GPS, NSW,80,       ..,     ..
59148,59,KALANG (SPICKETTS CK (NOONANNIE)),2007,  ..,-30.5617,152.8708,GPS, NSW,60,       ..,     ..
59149,59,TAYLORS ARM (LEMON GROVE),1997,  ..,-30.7846,152.7071,GPS, NSW,43,       ..,     ..
59150,59,BELLWOOD (NAMBUCCA HEADS (NAMBUCCA RESOR,2008,  ..,-30.6764,152.9822,GPS, NSW,3,       ..,     ..
59151,59,COFFS HARBOUR AIRPORT,2013,  ..,-30.3189,153.1162,GPS, NSW,3.5,4,95729
59152,59,LOWANNA (LOWANNA ROAD),2011,  ..,-30.2109,152.908,....., NSW,555,       ..,     ..
60000,60,BELLANGRY STATE FOREST 524,1950,1975,-31.3167,151.5833,....., NSW,225,       ..,     ..
60001,60,OXLEY ISLAND (LYNDHURST),1925,1973,-31.95,152.5667,....., NSW,4.6,       ..,     ..
60002,60,BULAHDELAH POST OFFICE,1905,  ..,-32.4129,152.2079,GPS, NSW,10,       ..,     ..
60003,60,BULBY BRUSH (BLUE LOOK-OUT),1925,2005,-32.1189,152.208,GPS, NSW,95,       ..,     ..
60004,60,LAKE CATHIE POST OFFICE,1949,1970,-31.55,152.85,....., NSW,18.3,       ..,     ..
60005,60,COMBOYNE POST OFFICE,1905,2014,-31.6058,152.4681,GPS, NSW,590,       ..,     ..
60006,60,MOORLAND (COOPERNOOK STATE FOREST),1940,2004,-31.79,152.6092,GPS, NSW,45,       ..,     ..
60007,60,COWELBAKH CRAVEN PLATEAU,1937,1961,-31.9,151.8,....., NSW,         ..,       ..,     ..
60008,60,CRAVEN STATE FOREST,1938,1956,-32.2,151.9,....., NSW,         ..,       ..,     ..
60009,60,COOLONGALOOK STATE FOREST,1938,1970,-32.2,152.3167,....., NSW,38.1,       ..,     ..
60010,60,CUNDLETOWN POST OFFICE,1901,1971,-31.9,152.5167,....., NSW,9.1,       ..,     ..
60011,60,LANSDOWNE (NEWBYS LANE),1998,2001,-31.7577,152.533,GPS, NSW,40,       ..,     ..
60012,60,ELANDS POST OFFICE,1912,1989,-31.6333,152.3,....., NSW,570,       ..,     ..
60013,60,FORSTER - TUNCURRY MARINE RESCUE,1896,  ..,-32.1756,152.5089,MAP 1:25 000, NSW,4,       ..,95778
60014,60,ELLERSTON (GLENROCK),1895,1971,-31.6833,151.4,....., NSW,548.6,       ..,     ..
60015,60,GLOUCESTER POST OFFICE,1888,  ..,-32.0063,151.9597,GPS, NSW,105,       ..,     ..
60016,60,GREENWOOD,1908,1948,-31.8,151.5,....., NSW,914.4,       ..,     ..
60017,60,HANNAM VALE (HANNAM VALE ROAD),1926,  ..,-31.7004,152.5833,GPS, NSW,33,       ..,     ..
60018,60,KUNDABUNG (SMITH CREEK RD),1999,2012,-31.2074,152.8222,GPS, NSW,15,       ..,     ..
60019,60,HYNDMAN,1914,1956,-31.6,152.2,....., NSW,         ..,       ..,     ..
60020,60,KENDALL POST OFFICE,1899,  ..,-31.632,152.7048,GPS, NSW,20,       ..,     ..
60021,60,KRAMBACH (FIREFLY RD),1910,  ..,-32.0564,152.2646,GPS, NSW,65,       ..,     ..
60022,60,LAURIETON (ELOUERA ST),1885,  ..,-31.6393,152.7869,GPS, NSW,12,       ..,     ..
60023,60,HARRINGTON (OXLEY ANCHORAGE CARAVAN PARK,1887,  ..,-31.8714,152.6827,GPS, NSW,6,       ..,     ..
60024,60,MOORLAND (DENRO-AN),1885,  ..,-31.7816,152.6684,GPS, NSW,5,       ..,     ..
60025,60,DIAMOND HEAD (POBBLEBONKS),1997,2006,-31.7547,152.7456,GPS, NSW,14,       ..,     ..
60026,60,PORT MACQUARIE (HILL ST),1842,2003,-31.4399,152.911,GPS, NSW,20,       ..,     ..
60027,60,LORNE (LORNE ROAD),1938,  ..,-31.6559,152.6144,GPS, NSW,55,       ..,     ..
60028,60,SEAL ROCKS CAMPING RESERVE,1897,2012,-32.4324,152.5234,GPS, NSW,4,       ..,     ..
60029,60,STEWARTS RIVER PUBLIC SCHOOL,1900,1969,-31.7333,152.65,....., NSW,33.5,       ..,     ..
60030,60,TAREE (PATANGA CL),1881,  ..,-31.8908,152.4709,GPS, NSW,14,       ..,     ..
60031,60,TELEGRAPH POINT (FARRAWELLS ROAD),1910,  ..,-31.3363,152.7852,GPS, NSW,10,       ..,     ..
60032,60,TOPI TOPI,1934,1957,-32.35,152.4,....., NSW,         ..,       ..,     ..
60033,60,KRAMBACH (BELLEVUE),1908,  ..,-32.0927,152.2471,GPS, NSW,165,       ..,     ..
60034,60,WAUCHOPE STATE FOREST,1950,1970,-31.4667,152.7333,....., NSW,9.1,       ..,     ..
60035,60,WAUCHOPE (AVONDALE STREET),1890,2012,-31.4595,152.7315,MAP 1:25 000, NSW,10,       ..,     ..
60036,60,WINGHAM (LANARK CLOSE),1888,  ..,-31.862,152.3444,GPS, NSW,66,       ..,     ..
60037,60,BUNDOOK (GLENHAUGH),1945,1996,-31.8867,152.1117,....., NSW,60,       ..,     ..
60038,60,INVERGORDON,1954,1954,-32.05,151.7333,....., NSW,         ..,       ..,     ..
60039,60,KENDALL FORESTRY,1954,1991,-31.6367,152.7061,....., NSW,8,       ..,     ..
60040,60,GLENROCK OUTSTATION,1953,1956,-31.7667,151.4333,....., NSW,1069.8,       ..,     ..
60041,60,DOYLES RIVER STATE FOREST,1950,1977,-31.4167,152.15,....., NSW,823,       ..,     ..
60042,60,CRAVEN (LONGVIEW),1961,  ..,-32.1532,151.9511,GPS, NSW,130,       ..,     ..
60043,60,COLORADO,1961,1971,-31.8,151.5167,....., NSW,1067,       ..,     ..
60044,60,BELLBROOK (NUNDLE),1961,1970,-31.5833,151.2667,....., NSW,685.8,       ..,     ..
60045,60,GLOUCESTER (BERRICO),1962,1978,-32.0667,151.8333,....., NSW,214,       ..,     ..
60046,60,BOBIN (BOBIN CREEK),1961,  ..,-31.6877,152.2688,GPS, NSW,165,       ..,     ..
60047,60,BUNGWAHL (BUTTABA),1961,1994,-32.39,152.4,....., NSW,32,       ..,     ..
60048,60,LANSDOWNE UPPER,1961,1973,-31.7,152.45,....., NSW,106.7,       ..,     ..
60049,60,BARRINGTON (CONEAC),1961,1970,-31.8667,151.8333,....., NSW,182.9,       ..,     ..
60050,60,GLOUCESTER (CORROBOREE FLAT),1961,2008,-31.6659,151.7521,GPS, NSW,195,       ..,     ..
60051,60,BIRDWOOD (ELBEE GLEN),1961,1973,-31.2833,152.3,....., NSW,228.6,       ..,     ..
60052,60,UPPER ROLLANDS PLAINS (GREENACRES),1961,  ..,-31.2322,152.5906,GPS, NSW,96,       ..,     ..
60053,60,BRETTI (VINEGAR HILL),1961,2010,-31.7966,151.9062,GPS, NSW,122,       ..,     ..
60054,60,WHERROL FLAT (HARRISONS FARM),1961,1971,-31.7833,152.2167,....., NSW,45.7,       ..,     ..
60055,60,LONG FLAT POST OFFICE,1906,  ..,-31.4368,152.4914,GPS, NSW,62,       ..,     ..
60056,60,NOWENDOC (MOUNT CARRINGTON),1961,1995,-31.4533,151.7783,....., NSW,550,       ..,     ..
60057,60,MYRA,1961,1971,-31.75,151.6833,....., NSW,670.6,       ..,     ..
60058,60,NUMBER ONE,1961,1975,-31.7333,152.0667,....., NSW,106.7,       ..,     ..
60059,60,RAWDON VALE,1961,1970,-31.9833,151.7,....., NSW,304.8,       ..,     ..
60060,60,GLAMIS (TERRABERNALLA),1961,1975,-31.55,152.0667,....., NSW,650,       ..,     ..
60061,60,TOP HAT,1964,1968,-31.45,151.5167,....., NSW,1235,       ..,     ..
60062,60,WAUKIVORY (THE RANCH),1961,2008,-32.1325,152.0889,GPS, NSW,340,       ..,     ..
60063,60,YARRAS (PLYWOOD MILL),1961,1969,-31.4167,152.35,....., NSW,91.4,       ..,     ..
60064,60,YARRAS (YARROWELL),1961,1996,-31.4733,152.2283,....., NSW,564,       ..,     ..
60065,60,WOOTTON,2002,  ..,-32.2942,152.3047,....., NSW,         ..,       ..,     ..
60066,60,NIANGALA (COWSBY),1959,1971,-31.4667,151.4167,....., NSW,1218.9,       ..,     ..
60067,60,UPPER PAPPINBARRA (HILLCREST),1961,  ..,-31.2821,152.4315,GPS, NSW,220,       ..,     ..
60068,60,YARRAS (CAMERONS CAMP),1959,1975,-31.2,152.4,....., NSW,853,       ..,     ..
60069,60,COOPLACURRIPA,1961,  ..,-31.6317,151.9586,GPS, NSW,252,       ..,     ..
60070,60,HERONS CREEK,1913,1938,-31.6,152.7,....., NSW,         ..,       ..,     ..
60071,60,ROLLANDS PLAINS,1890,1924,-31.2,152.6,....., NSW,         ..,       ..,     ..
60072,60,TUNCURRY,1916,1938,-32.2,152.5,....., NSW,         ..,       ..,     ..
60073,60,WHERROL FLAT,1908,1920,-31.8,152.2333,....., NSW,         ..,       ..,     ..
60074,60,FAILFORD POST OFFICE,1965,1966,-32.0833,152.45,....., NSW,8.5,       ..,     ..
60075,60,GLOUCESTER (UPPER BOWMAN),1965,  ..,-31.95,151.7923,GPS, NSW,280,       ..,     ..
60076,60,PORT MACQUARIE DMR,1954,1982,-31.4333,152.9,....., NSW,10,       ..,     ..
60077,60,BONNY HILLS POST OFFICE,1970,1971,-31.6,152.85,....., NSW,52,       ..,     ..
60078,60,MARLEE (WARRIWILLAH POST OFFICE),1966,1972,-31.7667,152.3167,....., NSW,83.8,       ..,     ..
60079,60,MOUNT GEORGE (STRIKE A LITE),1966,1969,-31.6,152.0333,....., NSW,         ..,       ..,     ..
60080,60,COMBOYNE SOUTH,1966,  ..,-31.6274,152.443,GPS, NSW,670,       ..,     ..
60081,60,GLOUCESTER (GIRO),1966,2006,-31.7233,151.8017,GPS, NSW,155,       ..,     ..
60082,60,NOWENDOC (BEAUFORT),1885,2013,-31.5304,151.7327,GPS, NSW,840,       ..,     ..
60083,60,COOPLA CURRIPA (LAWN HILL),1967,1978,-31.65,151.9833,....., NSW,200,       ..,     ..
60084,60,NOWENDOC (BRIDLE VALE),1967,1971,-31.45,151.7667,....., NSW,670.6,       ..,     ..
60085,60,YARRAS (MOUNT SEAVIEW),1949,  ..,-31.3865,152.2482,GPS, NSW,155,       ..,94783
60086,60,GLENWARRIN (SCHOOL HOUSE),1968,1991,-31.5864,152.2708,....., NSW,645,       ..,     ..
60087,60,TINONEE (CARINYA),1968,1980,-31.9667,152.3667,....., NSW,76,       ..,     ..
60088,60,PACIFIC PALMS (BOOMERANG BEACH),1968,1983,-32.35,152.5333,....., NSW,42,       ..,     ..
60089,60,WARDS RIVER (MOANA),1968,1979,-32.25,151.9833,....., NSW,15,       ..,     ..
60090,60,BIRDWOOD,1969,  ..,-31.3422,152.341,GPS, NSW,135,       ..,     ..
60091,60,CENTRAL LANSDOWNE (OAKDALE),1969,1981,-31.75,152.4833,....., NSW,31,       ..,     ..
60092,60,LANSDOWNE POST OFFICE,1969,  ..,-31.784,152.5353,GPS, NSW,10,       ..,     ..
60093,60,UPPER LANSDOWNE (MONTEREY),1969,2012,-31.6986,152.4734,GPS, NSW,58,       ..,     ..
60094,60,ELLENBOROUGH POST OFFICE,1969,1969,-31.45,152.4333,....., NSW,76.2,       ..,     ..
60095,60,BUNGWAHL,2002,  ..,-32.375,152.3808,....., NSW,         ..,       ..,     ..
60096,60,CABBAGE TREE MOUNTAIN,2002,  ..,-32.2583,152.1208,....., NSW,         ..,       ..,     ..
60097,60,TINONEE,1909,1921,-31.9333,152.4167,....., NSW,15.2,       ..,     ..
60098,60,YARRAS (JASPERS RANGE),1969,1975,-31.35,152.2667,....., NSW,780.3,       ..,     ..
60099,60,CRAWFORD RIVER (CRAWFORD),2002,  ..,-32.4421,152.1571,....., NSW,         ..,       ..,     ..
60100,60,STEWARTS RIVER (RED OAKS),1970,1971,-31.7167,152.6333,....., NSW,12.2,       ..,     ..
60101,60,ROLLANDS PLAINS (ROLLANDS PLAIND (BELLAN,1970,1973,-31.2833,152.6667,....., NSW,45.7,       ..,     ..
60102,60,CUNDLE FLAT (KHATAMBUHL),1970,  ..,-31.826,152.021,GPS, NSW,80,       ..,     ..
60103,60,KRAMBACH (TIPPERARY),1970,  ..,-32.0641,152.1243,GPS, NSW,180,       ..,     ..
60104,60,NOWENDOC (GREEN HILLS),1971,  ..,-31.4138,151.598,GPS, NSW,1130,       ..,     ..
60105,60,HUNTER SPRINGS (WONDECLA),1971,1978,-31.8667,151.45,....., NSW,122,       ..,     ..
60106,60,NUMBER ONE (MURRAYS CREEK),1970,  ..,-31.6647,152.0637,GPS, NSW,120,       ..,     ..
60107,60,MOUNT GEORGE (ROSEWOOD),1971,1986,-31.8833,152.15,....., NSW,50,       ..,     ..
60108,60,TAREE (LIGHTNING),1973,1994,-31.8861,152.5486,....., NSW,3,       ..,     ..
60109,60,MT.ROYAL RNG (POLBLUE TOPWAS 06124),1967,1982,-31.9667,151.45,....., NSW,1689.5,       ..,     ..
60110,60,ROCKY PEAK (LTPLV),1963,1995,-31.1642,152.3858,....., NSW,1047,       ..,     ..
60111,60,GLAMIS (MURRAYS CREEK),1975,1975,-31.6667,152.05,....., NSW,90,       ..,     ..
60112,60,GLOUCESTER (HIAWATHA),1976,  ..,-32.0525,151.9147,GPS, NSW,125,       ..,     ..
60113,60,BUNGULLA (CRAVEN PLATEAU),1937,1942,-31.8667,151.75,....., NSW,735,       ..,     ..
60114,60,MIDDLE BROTHER S.FOREST,1940,1953,-31.7,152.7,....., NSW,244,       ..,     ..
60115,60,CUNDLE FLAT (MANNING RIVER),1952,  ..,-31.8333,152.0167,....., NSW,80,       ..,     ..
60116,60,KINDEE BRIDGE (HASTINGS RIVER),1945,  ..,-31.4367,152.4633,....., NSW,         ..,       ..,     ..
60117,60,MOUNT GEORGE (MANNING RIVER),1929,  ..,-31.8833,152.15,....., NSW,15,       ..,     ..
60118,60,ROCKS CROSSING (NOWENDOC RIVER),1945,  ..,-31.7753,152.0778,....., NSW,70,       ..,     ..
